Bank_code,Period,Item,Scenario,AMOUNT
0SK1ILSPWNVBNQWU0W18,201412,993010,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993010,2,81.386137263
0SK1ILSPWNVBNQWU0W18,201512,993010,3,-106.5292289
0SK1ILSPWNVBNQWU0W18,201612,993010,2,78.302449183
0SK1ILSPWNVBNQWU0W18,201612,993010,3,-134.5016665
0SK1ILSPWNVBNQWU0W18,201312,993011,1,0
0SK1ILSPWNVBNQWU0W18,201412,993011,2,0
0SK1ILSPWNVBNQWU0W18,201412,993011,3,0
0SK1ILSPWNVBNQWU0W18,201512,993011,2,0
0SK1ILSPWNVBNQWU0W18,201512,993011,3,0
0SK1ILSPWNVBNQWU0W18,201612,993011,2,0
0SK1ILSPWNVBNQWU0W18,201612,993011,3,0
0SK1ILSPWNVBNQWU0W18,201312,993012,1,73.972
0SK1ILSPWNVBNQWU0W18,201412,993012,2,77.288307399
0SK1ILSPWNVBNQWU0W18,201412,993012,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993012,2,81.386137263
0SK1ILSPWNVBNQWU0W18,201512,993012,3,-106.5292289
0SK1ILSPWNVBNQWU0W18,201612,993012,2,78.302449183
0SK1ILSPWNVBNQWU0W18,201612,993012,3,-134.5016665
0SK1ILSPWNVBNQWU0W18,201312,993013,1,-0.64
0SK1ILSPWNVBNQWU0W18,201412,993013,2,0
0SK1ILSPWNVBNQWU0W18,201412,993013,3,0
0SK1ILSPWNVBNQWU0W18,201512,993013,2,0
0SK1ILSPWNVBNQWU0W18,201512,993013,3,0
0SK1ILSPWNVBNQWU0W18,201612,993013,2,0
0SK1ILSPWNVBNQWU0W18,201612,993013,3,0
0SK1ILSPWNVBNQWU0W18,201312,993014,1,73.332
0SK1ILSPWNVBNQWU0W18,201412,993014,2,77.288307399
0SK1ILSPWNVBNQWU0W18,201412,993014,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993014,2,81.386137263
0SK1ILSPWNVBNQWU0W18,201512,993014,3,-106.5292289
0SK1ILSPWNVBNQWU0W18,201612,993014,2,78.302449183
0SK1ILSPWNVBNQWU0W18,201612,993014,3,-134.5016665
0SK1ILSPWNVBNQWU0W18,201312,993015,1,73.332
0SK1ILSPWNVBNQWU0W18,201412,993015,2,77.288307399
0SK1ILSPWNVBNQWU0W18,201412,993015,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993015,2,81.386137263
0SK1ILSPWNVBNQWU0W18,201512,993015,3,-106.5292289
0SK1ILSPWNVBNQWU0W18,201612,993015,2,78.302449183
0SK1ILSPWNVBNQWU0W18,201612,993015,3,-134.5016665
0SK1ILSPWNVBNQWU0W18,201312,993016,1,73.332
0SK1ILSPWNVBNQWU0W18,201412,993016,2,77.288307399
0SK1ILSPWNVBNQWU0W18,201412,993016,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993016,2,81.386137263
0SK1ILSPWNVBNQWU0W18,201512,993016,3,-106.5292289
0SK1ILSPWNVBNQWU0W18,201612,993016,2,78.302449183
0SK1ILSPWNVBNQWU0W18,201612,993016,3,-134.5016665
0SK1ILSPWNVBNQWU0W18,201312,993017,1,0
0SK1ILSPWNVBNQWU0W18,201412,993017,2,0
0SK1ILSPWNVBNQWU0W18,201412,993017,3,0
0SK1ILSPWNVBNQWU0W18,201512,993017,2,0
0SK1ILSPWNVBNQWU0W18,201512,993017,3,0
0SK1ILSPWNVBNQWU0W18,201612,993017,2,0
0SK1ILSPWNVBNQWU0W18,201612,993017,3,0
0SK1ILSPWNVBNQWU0W18,201312,993101,1,21059
0SK1ILSPWNVBNQWU0W18,201412,993101,2,21127
0SK1ILSPWNVBNQWU0W18,201412,993101,3,21829
0SK1ILSPWNVBNQWU0W18,201512,993101,2,21160
